CD_SETOR,SITUACAO,AREA_KM2,CD_REGIAO,NM_REGIAO,CD_UF,NM_UF,CD_MUN,NM_MUN,CD_DIST,NM_DIST,CD_SUBDIST,NM_SUBDIST,CD_BAIRRO,NM_BAIRRO,CD_NU,NM_NU,v0001,v0002,v0003,v0004,v0005,v0006,v0007
"3,30391E+14",Urbana,"0,1575424",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390610,Cascatinha,33039061000,,.,,.,,55,30,30,0,"2,4","0,3043",23
"3,30391E+14",Urbana,"0,0309103",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390610,Cascatinha,33039061000,,.,,.,,247,116,116,0,"2,6","0,0729",96
"3,30391E+14",Urbana,"0,1686679",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390610,Cascatinha,33039061000,,.,,.,,235,90,90,0,"2,8","0,1529",85
"3,30391E+14",Urbana,"0,0272657",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390610,Cascatinha,33039061000,,.,,.,,237,95,95,0,"2,8","0,0814",86
"3,30391E+14",Urbana,"0,6821968",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390610,Cascatinha,33039061000,,.,,.,,281,131,131,0,"2,7","0,1038",106
"3,30391E+14",Urbana,"0,0276692",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390610,Cascatinha,33039061000,,.,,.,,526,196,196,0,"2,8","0,0106",189
"3,30391E+14",Urbana,"0,4083992",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390610,Cascatinha,33039061000,,.,,.,,963,387,387,0,"2,6","0,0027",371
"3,30391E+14",Urbana,"0,0519477",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390610,Cascatinha,33039061000,,.,,.,,540,202,202,0,"2,9",0,187
"3,30391E+14",Urbana,"0,0247843",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390610,Cascatinha,33039061000,,.,,.,,548,238,238,0,"2,4",0,231
"3,30391E+14",Urbana,"0,7645609",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390610,Cascatinha,33039061000,,.,,.,,247,131,131,0,"2,3","0,0472",106
"3,30391E+14",Urbana,"0,0345183",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390610,Cascatinha,33039061000,,.,,.,,226,143,143,0,2,"0,045",111
"3,30391E+14",Urbana,"0,0479324",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390610,Cascatinha,33039061000,,.,,.,,246,137,137,0,"2,2","0,0991",111
"3,30391E+14",Urbana,"0,3376966",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390610,Cascatinha,33039061000,,.,,.,,239,117,117,0,"2,5","0,0957",94
"3,30391E+14",Urbana,"0,1782934",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390610,Cascatinha,33039061000,,.,,.,,278,145,145,0,"2,3","0,0331",121
"3,30391E+14",Urbana,"0,1089843",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390610,Cascatinha,33039061000,,.,,.,,392,227,227,0,"2,2","0,0331",181
"3,30391E+14",Urbana,"0,0463765",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390610,Cascatinha,33039061000,,.,,.,,271,131,131,0,"2,5","0,1009",109
"3,30391E+14",Urbana,"2,0305278",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390610,Cascatinha,33039061000,,.,,.,,305,212,212,0,"2,3","0,0226",133
"3,30391E+14",Urbana,"0,0159927",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390610,Cascatinha,33039061000,,.,,.,,186,303,303,0,"2,3","0,0123",81
"3,30391E+14",Urbana,"0,0763363",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390610,Cascatinha,33039061000,,.,,.,,357,196,195,1,"2,4",0,147
"3,30391E+14",Urbana,"0,10331",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390610,Cascatinha,33039061000,,.,,.,,491,211,211,0,"2,6","0,0214",187
"3,30391E+14",Urbana,"0,004407",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390610,Cascatinha,33039061000,,.,,.,,105,58,58,0,"2,3","0,1556",45
"3,30391E+14",Urbana,"0,1061224",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390610,Cascatinha,33039061000,,.,,.,,237,215,215,0,"2,4","0,0101",99
"3,30391E+14",Urbana,"0,0139415",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390610,Cascatinha,33039061000,,.,,.,,185,120,120,0,2,"0,043",93
"3,30391E+14",Urbana,"0,2629209",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390610,Cascatinha,33039061000,,.,,.,,0,0,0,0,0,0,0
"3,30391E+14",Urbana,"0,0552218",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390610,Cascatinha,33039061000,,.,,.,,344,148,148,0,"2,5","0,037",135
"3,30391E+14",Urbana,"0,4048131",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390610,Cascatinha,33039061000,,.,,.,,0,0,0,0,0,0,0
"3,30391E+14",Urbana,"0,1340266",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390610,Cascatinha,33039061000,,.,,.,,440,184,184,0,"2,6","0,0299",167
"3,30391E+14",Urbana,"0,0162177",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390610,Cascatinha,33039061000,,.,,.,,48,1,0,1,0,0,0
"3,30391E+14",Urbana,"0,5589238",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390610,Cascatinha,33039061000,,.,,.,,350,151,151,0,"2,5",0,140
"3,30391E+14",Urbana,"0,0062869",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390610,Cascatinha,33039061000,,.,,.,,129,1,0,1,0,0,0
