dataset_of_90s_track,dataset_of_90s_artist,dataset_of_90s_uri,dataset_of_90s_danceability,dataset_of_90s_energy,dataset_of_90s_key,dataset_of_90s_loudness,dataset_of_90s_mode,dataset_of_90s_speechiness,dataset_of_90s_acousticness,dataset_of_90s_instrumentalness,dataset_of_90s_liveness,dataset_of_90s_valence,dataset_of_90s_tempo,dataset_of_90s_duration_ms,dataset_of_90s_time_signature,dataset_of_90s_chorus_hit,dataset_of_90s_sections,dataset_of_90s_target,dataset_of_90s_id_ano
"""Don't Cry For Me Argentina (From """"Evita"""")""",Madonna,spotify:track:0XzS20zTg74EyoM1dDORlE,0.297,0.148,11,"-13,898",1,"0,0337","0,897","4,03E-06","0,099","0,082","104,458",335733,5,"44,7754",17,1,6
"""I Love Music (From """"Carlito's Way"""")""",Rozalla,spotify:track:7bf3WkBlgMvE2n0F96LQja,0.714,0.686,2,"-8,428",0,"0,0294","0,0376","0,0043","0,0853","0,842","125,982",290000,4,"26,85643",13,1,6
"""Let It Go (From """"Set It Off"""")""",Ray J,spotify:track:6igXETl1zKir06CA7NWYo2,0.853,0.515,0,"-5,081",1,"0,0453","0,0547","7,79E-05","0,0519","0,859","93,026",293129,4,"32,89598",11,1,6
"""Oscar's """"B"""" Sandwich""",Oscar the Grouch,spotify:track:32WQuOyYBxZW1Q8tmL7amK,0.778,0.573,0,"-9,285",1,"0,355","0,795",0,"0,753","0,966","107,087",64773,3,"11,3163",3,0,6
"""Piano Concerto No. 21 in C Major, K. 467 """"Elvira Madigan"""": II. Andante""",Wolfgang Amadeus Mozart,spotify:track:2YarjDYjBJuH63dUIh9OWv,0.194,0.0324,5,"-28,215",1,"0,0382","0,982","0,961","0,0916","0,0596","144,13",433800,4,"44,69069",19,0,6
"""Piano Concerto No.5 in E flat major Op.73 -""""Emperor"""": 2. Adagio un poco mosso""",Ludwig van Beethoven,spotify:track:2a6EP73QVZxj0NSVEta4Ad,0.227,0.0227,11,"-29,761",1,"0,0432","0,988","0,909","0,103","0,04","84,99",498867,4,"53,77873",23,0,6
"""Regreso al amor, from Solana's movie """"Sur""""""",Yo-Yo Ma,spotify:track:6NVHnUrSPVAcN3ezheg5HP,0.365,0.281,2,"-11,878",0,"0,0316","0,719","0,173","0,0899","0,428","95,079",362400,4,"69,18476",17,0,6
"""Someday (From """"The Hunchback Of Notre Dame"""")""",All-4-One,spotify:track:0LY1DGU1xAWJOFHTMLYBMS,0.22,0.174,6,"-20,329",0,"0,0307","0,378",0,"0,0944","0,106","167,178",260493,3,"27,05795",12,1,6
"""Soul To Squeeze (From """"Coneheads"""")""",Red Hot Chili Peppers,spotify:track:6pkzrU2RKoPcQJHT7dwlbP,0.663,0.546,5,"-5,234",1,"0,0269","0,0322","0,000572","0,107","0,656","88,171",289533,4,"110,3566",9,1,6
"""The Perfect Drug (From """"Lost Highway"""")""",Nine Inch Nails,spotify:track:4N9jdraFn9ejQPijbgzZzv,0.627,0.883,5,"-8,988",0,"0,0947","0,0207","0,00346","0,323","0,252","149,024",315440,4,"37,21339",12,1,6
