dataset_of_90s_track,dataset_of_90s_artist,dataset_of_90s_uri,dataset_of_90s_danceability,dataset_of_90s_energy,dataset_of_90s_key,dataset_of_90s_loudness,dataset_of_90s_mode,dataset_of_90s_speechiness,dataset_of_90s_acousticness,dataset_of_90s_instrumentalness,dataset_of_90s_liveness,dataset_of_90s_valence,dataset_of_90s_tempo,dataset_of_90s_duration_ms,dataset_of_90s_time_signature,dataset_of_90s_chorus_hit,dataset_of_90s_sections,dataset_of_90s_target,dataset_of_90s_id_ano
"""The Riddler (From """"Batman Forever"""")""",Method Man,spotify:track:0GzXo2jahyCJbyTEo5fqCB,0.798,0.668,10,"-4,824",1,"0,091","0,0571","0,00987","0,204","0,438","168,039",213733,4,"34,91878",14,1,6
"""Violin Concerto """"To The Memory Of An Angel"""": 2. Allegro - Adagio""",Alban Berg,spotify:track:60P4tyxMGLVOoTNnH8874U,0.118,0.0688,5,"-22,729",0,"0,041","0,92","0,182","0,109","0,0346","92,353",972000,4,"44,8779",49,0,6
"""When I Fall In Love (From """"Sleepless In Seattle"""")""",Celine Dion And Clive Griffin,spotify:track:5kqmgfPEUWtDGWOvop4sP2,0.19,0.241,8,"-13,251",1,"0,0322","0,577",0,"0,0952","0,107","68,353",260827,4,"68,96294",11,1,6
"""When You Wish Upon A Star (From Walt Disney's """"Pinocchio"""") - Instrumental""",Dave Brubeck,spotify:track:2fjpDEiMe9eYDYmk1W2j3O,0.617,0.149,0,"-14,349",0,"0,049","0,948","0,17","0,0947","0,431","112,84",288973,4,"56,55171",14,0,6
#3,Aphex Twin,spotify:track:2Bc4llhjJBW77I552RgA3L,0.167,0.071,6,"-27,108",0,"0,041","0,911","0,855","0,107","0,0613","143,315",464293,5,"43,83132",18,0,6
(Everything I Do) I Do It For You,Bryan Adams,spotify:track:6eBK3edMW7bEzecF1eCezc,0.526,0.365,1,"-12,605",1,"0,028","0,0775","1,35E-05","0,0618","0,253","131,253",394133,4,"27,3344",16,1,6
(Friday Afternoon) In a Galaxy Far Away,Mattias IA Eklundh,spotify:track:4ndZWKvlUvabWlLPTp2px2,0.218,0.972,3,"-6,097",1,"0,228","0,113","0,32","0,355","0,167","138,859",47400,3,"23,95958",4,0,6
(I Could Only) Whisper Your Name,"Harry Connick, Jr.",spotify:track:68EKUNtzGVapUS30PJDVKs,0.682,0.572,5,"-7,067",0,"0,045","0,191","0,204","0,0504","0,844","89,083",290333,4,"31,29211",12,1,6
(We Ain't Got) Nothin' Yet,The Blues Magoos,spotify:track:7sKCwyhhdzrb9nx6gmTsFE,0.409,0.857,10,"-9,709",1,"0,0442","0,208","8,93E-05","0,0493","0,881","148,739",138867,4,"38,63422",6,0,6
...Baby One More Time,Britney Spears,spotify:track:3MjUtNVVq3C8Fn0MP3zhXa,0.759,0.699,0,"-5,745",0,"0,0307","0,202","0,000131","0,443","0,907","92,96",211067,4,"31,62785",9,1,6
¿Y Todo Para Qué?,Intocable,spotify:track:53IpyJOqUIcCzCUtMjP9oy,0.694,0.637,0,"-7,786",1,"0,0274","0,336","5,4E-05","0,322","0,782","102,833",190533,4,"28,39795",11,0,6
12,Jeffries Fan Club,spotify:track:6GN4Dciom4zOzftIS5YkDH,0.436,0.936,7,"-8,156",1,"0,0836","0,00136","0,196","0,118","0,749","116,929",176013,4,"53,51022",7,0,6
1-2-3,The Chimes,spotify:track:59SxsQ3e2bQ9U65GelEMqV,0.826,0.611,6,"-12,571",1,"0,0648","0,0336","0,0224","0,0498","0,919","109,801",203360,4,"36,84838",9,1,6
1969,Sisters of Mercy,spotify:track:5t3w2oRxvGqkzrz5m4fMMm,0.463,0.762,7,"-7,587",1,"0,033","8,95E-06","0,896","0,0748","0,849","98,556",165433,4,"42,54899",6,0,6
1-Luv,E-40 (Featuring Leviti),spotify:track:2yJCZ4b5v5vT0iqAs9LuS5,0.806,0.746,2,"-5,473",1,"0,151","0,0657","6,43E-05","0,127","0,417","90,038",308307,4,"47,24649",12,1,6
1st Of Tha Month,Bone Thugs-N-Harmony,spotify:track:1dF5Y2dd7Wm4wZKvVjWBpr,0.729,0.581,5,"-8,235",0,"0,18","0,0777","3,81E-06","0,696","0,508","74,038",314680,4,"46,15646",11,1,6
3 Gymnopédies: Gymnopedie No. 1,Erik Satie,spotify:track:1jQUjKDjWsVPIYyLANEThG,0.527,0.0291,7,"-31,347",1,"0,0741","0,994","0,917","0,0959","0,28","99,331",159333,3,"41,14856",8,0,6
5 Miles To Empty,Brownstone,spotify:track:2kJxVNGxZSENlLGCdV8AIV,0.671,0.733,3,"-10,884",0,"0,0283","5,01E-05","0,858","0,0745","0,803","123,577",225933,4,"31,81401",10,1,6
57 Channels (And Nothin' On),Bruce Springsteen,spotify:track:42eWzCqHuCD5QRwzq3I24e,0.894,0.316,7,"-18,975",1,"0,0978","0,608","0,0153","0,111","0,64","132,061",145467,4,"37,11863",7,1,6
808,Blaque,spotify:track:1Pqv7l6vxjBxd5fx4bWchC,0.867,0.42,1,"-9,478",1,"0,167","0,00328","3,18E-06","0,0887","0,367","121,66",306693,4,"22,84136",15,1,6
A Life of Possibilities,Dismemberment Plan,spotify:track:3TKWCQMU7xYEEslFXsj51i,0.709,0.837,7,"-7,273",1,"0,0779","0,101","0,511","0,114","0,502","125,485",274720,4,"40,24415",9,0,6
A Little Love,Corey Hart,spotify:track:7rYipZC5OPXEdhK69Lc8JJ,0.644,0.856,0,"-10,663",1,"0,0526","0,0766",0,"0,0813","0,542","121,055",252667,4,"38,41666",10,1,6
A Little Past Little Rock,Lee Ann Womack,spotify:track:3Xl5apC8UhqZ1FZ7u3HHfO,0.439,0.539,4,"-8,035",1,"0,0329","0,602","1,31E-05","0,155","0,319","171,888",256027,4,"34,90149",11,1,6
A Message For The Saints,Donald Lawrence & The Tri-City Singers,spotify:track:4tSkWw6LaQm9hSw5KbYCAY,0.579,0.921,5,"-7,195",0,"0,0454","0,142",0,"0,977","0,552","80,84",322707,4,"48,84223",12,0,6
A Minha Vingança,Jose Roberto,spotify:track:42zBTWx2BnvoGgwZ2YRudM,0.634,0.621,9,"-9,795",1,"0,0351","0,0727","1,66E-06","0,286","0,784","120,06",161939,4,"31,72636",8,0,6
A New Dawn - Gujarat Prabhatiyu,Rakesh Chaurasia,spotify:track:0BFwipUuYDILoHZ2GezTKF,0.347,0.54,4,"-6,839",1,"0,0305","0,364","0,0565","0,124","0,449","141,814",412720,4,"25,2752",19,0,6
A Promise I Make,Dakota Moon,spotify:track:6dWbvrb0xygIlstvZxDhDJ,0.711,0.481,0,"-8,135",0,"0,0242","0,273",0,"0,0952","0,392","90,118",267280,4,"30,26556",11,1,6
Abigor,Cryptopsy,spotify:track:4kfpbmx9zcQeZLPKNLCO2A,0.232,0.961,9,"-14,036",1,"0,0503","0,000263","0,929","0,363","0,161","102,172",231427,4,"38,40962",9,0,6
Action,Terror Fabulous Featuring Nadine Sutherland,spotify:track:42F0eI7tFI8Xez4iqXObBt,0.62,0.477,6,"-12,277",0,"0,169","0,187",0,"0,0522","0,757","123,876",201747,5,"73,90144",9,1,6
Action & Action,The Get Up Kids,spotify:track:3rNRmQETcPHauTPFqS7z3T,0.422,0.92,1,"-4,874",0,"0,0884","0,000137","0,0172","0,241","0,393","76,196",245840,4,"163,09262",4,0,6
Adrenochrome,Sisters of Mercy,spotify:track:5k0fGRvLPypAvcQ4h1nXLl,0.624,0.814,9,"-9,07",0,"0,0426","0,00016","0,869","0,0626","0,52","160,911",177450,4,"53,32418",8,0,6
Advice For The Young At Heart,Tears For Fears,spotify:track:3BjD16l0CBQxUvcRI7vLWN,0.665,0.787,5,"-8,393",1,"0,0328","0,0736","0,000132","0,143","0,358","122,478",290640,4,"32,4051",14,1,6
After the Call,Tangerine Dream,spotify:track:0VJY6Yj43VBfkwxKEDWdez,0.563,0.585,10,"-15,352",0,"0,0444","0,00251","0,912","0,0795","0,742","144,5",314907,4,"42,28513",13,0,6
After The Rain,Nelson,spotify:track:3VWGHiQO7fArciqoKB2DSx,0.461,0.867,3,"-5,879",1,"0,0684","0,0109","0,000164","0,33","0,611","125,441",245862,4,"38,8424",11,1,6
Afternoons & Coffeespoons,Crash Test Dummies,spotify:track:21qfURxhcUJeeKKzB132ze,0.604,0.866,5,"-6,742",1,"0,0335","0,0151","0,00138","0,357","0,752","122,917",235933,4,"28,55207",10,1,6
Ain't Nobody's Business,Dejan's Olympia Brass Band,spotify:track:7uon99ZWt3I6nWVaxkw8m2,0.447,0.325,5,"-17,777",0,"0,174","0,752","0,000617","0,148","0,431","68,634",415867,4,"29,60479",17,0,6
Alamode,Art Blakey & The Jazz Messengers,spotify:track:3Wglt4wIgeXIBp8nDTh7mQ,0.459,0.428,1,"-13,654",1,"0,038","0,714","0,0155","0,279","0,801","132,199",410867,4,"17,18954",17,0,6
"Album for the Young, Op. 39 (arr. R. Dubinsky): No. 15. Italian Song (Chanson italienne)",Pyotr Ilyich Tchaikovsky,spotify:track:4fKI7bOWTI3ajBiG8EYIVm,0.2,0.0527,2,"-28,133",1,"0,0436","0,977","0,904","0,133","0,252","68,62",75600,3,"41,23525",4,0,6
"Album for the Young, Op. 39 (arr. R. Dubinsky): No. 18. Neapolitan Song (Chanson napolitaine)",Pyotr Ilyich Tchaikovsky,spotify:track:2a82gVYG5ygFPJV9aPvEQA,0.524,0.124,3,"-23,955",1,"0,0533","0,935","0,943","0,102","0,478","87,248",70560,4,"39,34938",4,0,6
Alice,Sisters of Mercy,spotify:track:37XVpHmFM8P42ghW4Swczc,0.501,0.67,11,"-7,683",0,"0,0589","0,000509","0,869","0,0928","0,504","146,204",214936,4,"28,20807",11,0,6
Aline,João Mineiro & Marciano,spotify:track:2gvrSeHgJaiczOt102ou2U,0.248,0.449,11,"-9,502",1,"0,0366","0,422",0,"0,123","0,39","180,161",181600,3,"28,06798",8,0,6
All Along,Blessid Union Of Souls,spotify:track:4BWAfHcuiNeOW2DrtP6RbD,0.537,0.291,1,"-9,619",1,"0,0266","0,343",0,"0,11","0,0643","76,086",234707,4,"26,38504",13,1,6
All I'm Missing Is You,"Glenn Medeiros Featuring Ray Parker, Jr.",spotify:track:161VLuQ9BzasINJUoX0sNZ,0.742,0.745,5,"-9,132",0,"0,0296","0,12",0,"0,0998","0,844","102,996",259733,4,"30,90012",12,1,6
All Lips N' Hips,Electric Boys,spotify:track:0x2lW60JnKE0oLkUP8kq8C,0.561,0.927,7,"-9,808",1,"0,0586","0,0886","0,0133","0,343","0,11","93,209",264827,4,"44,58498",7,1,6
All My Life,K-Ci & JoJo,spotify:track:5GorFaKkP2mLREQvhSblIg,0.629,0.511,1,"-8,651",1,"0,0326","0,114","3,91E-06","0,0588","0,181","128,038",331240,4,"24,89624",12,1,6
All of Us,Abhinanda,spotify:track:12WMi9UxilKXQnkyvDGxeo,0.416,0.697,10,"-10,317",0,"0,0546","0,000121","0,65","0,0862","0,734","99,734",113067,4,"24,10136",6,0,6
All Sons Of Bitches,George Clinton & The P-Funk All Stars,spotify:track:2PBTUAk1eOAodmkIeb59xT,0.817,0.815,6,"-6,433",1,"0,0377","0,0188","0,00235","0,239","0,852","110,054",284107,4,"25,73506",12,0,6
All That Glitters Isn't Gold,The Cover Girls,spotify:track:6HoFcVqhRM3JXfByq0t5go,0.665,0.822,8,"-9,869",1,"0,0383","0,189","0,00673","0,162","0,795","117,34",350040,4,"34,83423",14,1,6
All That She Wants,Ace Of Base,spotify:track:6kWJvPfC4DgUpRsXKNa9z9,0.798,0.625,11,"-9,689",1,"0,0548","0,00547","7,98E-05","0,103","0,858","93,764",211213,4,"29,04853",10,1,6
All The Man That I Need,Whitney Houston,spotify:track:07M76e7IXxYdnC1BBiJxEX,0.496,0.571,5,"-9,958",0,"0,0335","0,43",0,"0,0332","0,25","150,944",251427,4,"57,65932",10,1,6
All Through The Night,Tone-Loc,spotify:track:5XlgIjaIwqD5q5dVjdVo9V,0.699,0.577,6,"-12,375",1,"0,172","0,00243","0,0268","0,0581","0,802","177,213",295067,4,"31,77604",15,1,6
All You've Got,RTZ,spotify:track:3WPPoxtp863Y3NdyjuT5Vj,0.684,0.655,9,"-10,417",1,"0,0335","0,215",0,"0,0676","0,682","110,33",244267,4,"18,1694",11,1,6
Alma Gêmea,Fábio Jr.,spotify:track:7LZ4votCOvxFLTUz65AjCB,0.456,0.348,11,"-14,131",1,"0,0314","0,664",0,"0,2","0,222","97,837",289667,3,"14,77668",8,0,6
Along Came Betty,Art Blakey,spotify:track:541oWN6KqLAPSVKlsk8wHP,0.483,0.49,9,"-10,647",1,"0,0312","0,784","0,00153","0,116","0,512","135,074",367133,4,"71,93953",16,0,6
Alright - Demo,Osker,spotify:track:18t3mlQ0qPky2J1MEByC2i,0.319,0.967,3,"-6,067",1,"0,122","0,124",0,"0,124","0,714","108,664",113827,4,"82,77861",3,0,6
Always In My Heart,Tevin Campbell,spotify:track:2CD8UvBi01dwnriCM8TivL,0.713,0.677,6,"-6,761",1,"0,0253","0,0282","5,99E-05","0,144","0,522","124,152",338732,4,"59,83312",13,1,6
Always On My Mind,SWV,spotify:track:4zAxfkmJqsaHqFu1YPMS5a,0.621,0.583,1,"-10,127",0,"0,0345","0,0116",0,"0,115","0,452","137,534",317360,4,"59,03463",12,1,6
Amor De Escuela,Luis Miguel,spotify:track:1SKCQnKAuduNb0tOSTpRG9,0.541,0.726,0,"-5,582",1,"0,0406","0,277",0,"0,219","0,763","114,092",194809,3,"29,23983",10,0,6
An Eagle In Your Mind,Boards of Canada,spotify:track:03zv0Znm7bA7XzWMZ1lEKO,0.825,0.467,6,"-14,055",1,"0,0753","0,371","0,845","0,0594","0,249","96,012",385520,4,"24,28685",14,0,6
Analogue Rock,Stereolab,spotify:track:5wBY03eJvpy0OqYP6MK5oL,0.324,0.603,8,"-8,014",0,"0,0361","4,06E-06","0,102","0,1","0,353","140,697",278348,4,"29,92023",11,0,6
And Our Feelings,Babyface,spotify:track:27sYHmgfRvHFyQ5vrm5nQp,0.741,0.592,4,"-7,819",1,"0,0298","0,138",0,"0,224","0,27","128,137",342360,4,"77,6191",9,1,6
And the Birds Are Singing,Sebastian Lightfoot,spotify:track:71Y0TBv5vNzliOX8dFIJD7,0.158,0.376,2,"-15,459",1,"0,0347","0,0346","0,712","0,291","0,252","64,993",439800,4,"41,63315",25,0,6
Angel,Jon Secada,spotify:track:543d68hZ4dzVePFfdVc0Ki,0.485,0.477,0,"-8,948",1,"0,0262","0,295","3,35E-05","0,202","0,134","151,704",275040,4,"38,21205",15,1,6
Angels From the Realms of Glory,Discovery Singers,spotify:track:5biFDVTSs0GCP67Dz44eep,0.513,0.258,9,"-13,636",1,"0,0392","0,976",0,"0,173","0,495","75,045",136867,4,"20,93505",3,0,6
Angels Would Fall,Melissa Etheridge,spotify:track:5vuLPGz5irIX7TAHsFKQcQ,0.472,0.714,7,"-7,546",0,"0,0248","0,102","2,91E-06","0,0485","0,7","92,874",279573,4,"37,51236",11,1,6
Angelus ad pastores - Transc. Denis Arnold/Edited for performance John Eliot Gardiner,Giovanni Gabrieli,spotify:track:2PLNtjT3VLjdOwEgOaK0Qa,0.252,0.158,9,"-17,906",0,"0,0339","0,995","0,0368","0,0791","0,26","80,878",129267,4,"47,73662",5,0,6
Anti-Manifesto,Propagandhi,spotify:track:5pC1EmGL0mLkqZblnEe1hH,0.349,0.969,7,"-4,621",1,"0,114","0,000793","0,00344","0,117","0,629","114,994",214920,4,"29,72272",8,0,6
Anything Is Possible,Debbie Gibson,spotify:track:5igzD9gFG7lwqfNjiKyV0m,0.696,0.861,8,"-7,298",0,"0,0342","0,253",0,"0,287","0,904","110,069",223453,4,"33,53568",10,1,6
April Kisses,Eddie Lang,spotify:track:3XrVpk9SxBzkw9zfvYsH7R,0.572,0.233,0,"-19,258",0,"0,0526","0,935","0,779","0,117","0,711","83,681",188667,4,"38,51682",11,0,6
Aqui Llego,Dj Joe,spotify:track:1grkqs0ePeh1EBKMo4wRK0,0.875,0.884,6,"-5,141",1,"0,219","0,0789",0,"0,325","0,741","107,976",189675,4,"26,40794",11,0,6
Arcana,Edgard Varèse,spotify:track:1Pgw7E5CIs8aZGJ9pqRBak,0.264,0.365,3,"-16,909",0,"0,0749","0,694","0,651","0,169","0,0547","140,266",1110240,4,"17,87218",47,0,6
Are You That Somebody?,Aaliyah,spotify:track:3FY7setkwqNLtNyS4se0jd,0.848,0.663,9,"-7,078",0,"0,159","0,124","0,0293","0,0737","0,833","137,953",265667,4,"57,2324",10,1,6
Arena Of Concealment,Caliban,spotify:track:7ytyhHGmO2mRJGn8VW5hSc,0.28,0.957,7,"-6,707",1,"0,0908","6,06E-06","0,712","0,398","0,365","95,099",169680,4,"23,47645",7,0,6
Ash Tray Blues,Papa Charlie Jackson,spotify:track:2oods8nOG6bB6ZUFHEumbx,0.85,0.212,7,"-16,888",1,"0,0948","0,987","0,0298","0,114","0,781","121,146",178730,4,"53,3255",8,0,6
At The Atlantis,Bad Brains,spotify:track:5jRP1M1h9cx4O1thbg2HmZ,0.339,0.927,3,"-8,474",1,"0,093","4,87E-06","0,813","0,353","0,711","135,266",118000,4,"49,01178",6,0,6
Atom & His Package - Rock Version,Atom And His Package,spotify:track:4nFHAWXFCLoGZUeb1glVyX,0.337,0.765,0,"-7,323",1,"0,128","0,000768","0,000108","0,701","0,727","147,041",147387,4,"32,27974",6,0,6
Augenblick - Richard Bartz Techno Soul Mix,Sven Väth,spotify:track:5lYH9pIqXOu0mIgOBzYhi7,0.657,0.648,0,"-11,238",1,"0,0366","0,0214","0,77","0,35","0,311","133,317",326173,4,"36,85613",13,0,6
Automatic Lover (Call For Love),Real McCoy,spotify:track:7CEPvXcCMeCSBrMI72ayLm,0.688,0.98,5,"-4,862",0,"0,034","0,0693","0,462","0,16","0,538","132,992",227933,4,"45,0153",11,1,6
B.B.D. (I Thought It Was Me)?,Bell Biv DeVoe,spotify:track:4oRDt0qQeY4XQOQWYOQUmt,0.748,0.799,1,"-9,322",1,"0,0438","0,00348","1,59E-06","0,103","0,795","105,569",275107,4,"20,53487",11,1,6
Baby,Brandy,spotify:track:5DXZEyRABIakjsRJYApURz,0.807,0.651,5,"-6,714",0,"0,0477","0,0236","6,65E-06","0,174","0,829","91,028",313293,4,"32,50135",11,1,6
Baby I'm Yours,Shai,spotify:track:3xSu3S8v206qwhob9N2LGJ,0.705,0.575,2,"-9,518",1,"0,0381","0,215","2,09E-05","0,12","0,596","143,8",274667,4,"77,05561",12,1,6
Baby-Baby-Baby,TLC,spotify:track:1zTuB57LYZa7xu7KUH8kF0,0.679,0.597,11,"-8,601",0,"0,0439","0,0913","0,000673","0,0487","0,9","184,174",315040,4,"20,93007",15,1,6
Babymaker,Pale Saints,spotify:track:1En7mRsz1SzSb6TTTsjVA6,0.332,0.572,0,"-13,904",1,"0,0329","0,000701","0,732","0,112","0,287","146,809",205907,4,"103,25433",8,0,6
Back To The Bullet,Saraya,spotify:track:0vFOxSmQ2DvSlqeicQFGZO,0.406,0.779,1,"-8,454",0,"0,0337","0,0261","2,71E-06","0,115","0,47","106,018",229840,4,"25,29697",11,1,6
Bad Girl,Madonna,spotify:track:2tySjBBWqam7oaBUZ26oNL,0.645,0.484,11,"-11,233",0,"0,0396","0,0211","3,88E-06","0,0495","0,52","146,897",323333,4,"44,29664",12,1,6
Bad Reputation,Freedy Johnston,spotify:track:5aNAOwr2QoRbvyRG7ZVrhf,0.608,0.677,4,"-9,951",0,"0,0246","0,0058","0,000537","0,266","0,787","114,046",248560,4,"42,90858",11,1,6
Ballade,Igor Stravinsky,spotify:track:5ZzJiOMozFewsEN9wsN1DL,0.306,0.0687,7,"-21,095",0,"0,0468","0,986","0,234","0,0698","0,147","137,235",199440,4,"40,67931",8,0,6
Bang And Blame,R.E.M.,spotify:track:4FCn9LuUy6unyPSnXVwLq1,0.694,0.584,7,"-9,855",1,"0,0404","0,141","0,545","0,112","0,444","120,949",330933,4,"103,17266",10,1,6
Bang Bang,David Sanborn,spotify:track:1TUtUzVjXu1zA4U9nNv3Pw,0.716,0.915,10,"-8,153",1,"0,0343","0,589","0,000871","0,351","0,96","127,074",277432,4,"36,1592",8,1,6
Barracudas (General Assembly),Wayne Shorter,spotify:track:4f1PnJJDsLa1AHmvuBtZtW,0.338,0.519,2,"-14,728",1,"0,0418","0,571","4,03E-05","0,0925","0,386","66,043",667933,4,"36,58139",30,0,6
Barrel Of A Gun,Depeche Mode,spotify:track:5COH2h5ncTVFfAUhBM2J7k,0.522,0.949,4,"-5,216",1,"0,073","0,0221","0,00286","0,0615","0,707","165,872",336293,4,"18,89752",14,1,6
Be My Baby Tonight,John Michael Montgomery,spotify:track:2P9Cn8LEt0mK0WD6iCYokP,0.634,0.774,9,"-7,651",1,"0,0384","0,226","2,16E-05","0,397","0,927","156,828",170533,4,"37,1246",6,1,6
Beautiful Life,Ace Of Base,spotify:track:74jTexO94dFGyXGyeu8krd,0.749,0.988,0,"-5,266",0,"0,0387","0,202","0,00631","0,17","0,749","135,015",221187,4,"51,38483",9,1,6
Beautiful Stranger,Madonna,spotify:track:3DlRZM6zKSlAZigHbJQ3cp,0.52,0.756,11,"-3,909",1,"0,0288","0,122","3,53E-05","0,389","0,286","122,448",260760,4,"45,10632",10,1,6
Bébé rock,Jeanne Mas,spotify:track:0n4rHqrodQ15v9tYZhVWLW,0.584,0.337,7,"-15,206",0,"0,0277","0,738","0,00256","0,0936","0,224","127,966",320573,4,"30,85216",17,0,6
Because The Night,"10,000 Maniacs",spotify:track:5VzvK7YiwWbRePA2JOzhYq,0.408,0.79,11,"-8,138",0,"0,103","0,26","0,00027","0,765","0,347","122,624",223373,4,"25,14097",8,1,6
Bed Of Roses,Bon Jovi,spotify:track:1zng9uqqXoPkmU05nsAlsw,0.309,0.596,5,"-5,599",1,"0,0293","0,101",0,"0,21","0,161","164,587",394400,3,"53,08901",17,1,6
Besa Me Mucho,Limpopo,spotify:track:4ywrxU7nx1ohP6bd4q2gu8,0.517,0.462,4,"-8,597",0,"0,0331","0,866","0,315","0,161","0,616","122,838",189840,4,"27,26668",9,0,6
Better Days,Strung Out,spotify:track:4KIfIaa0Ugup84PGCG8L3L,0.426,0.963,5,"-5,355",0,"0,0662","0,0028",0,"0,164","0,546","111,399",146107,4,"19,11929",6,0,6
Better Than You,Lisa Keith,spotify:track:1qDOcORGMV1sThFhunLwjF,0.706,0.933,8,"-4,442",1,"0,0467","0,0339","0,000323","0,138","0,762","99,451",253667,4,"23,3467",11,1,6
Beyond the Realms of Death,Agent Steel,spotify:track:45MGbaQoGrlXsnbmbrJXg2,0.245,0.819,6,"-8,1",1,"0,0524","0,00541","0,00772","0,423","0,381","91,605",403840,4,"32,94822",13,0,6
Big Calm,Morcheeba,spotify:track:2z6WRrNKmMHgiFJnwsdGEi,0.549,0.805,0,"-6,779",1,"0,0917","0,0506","0,649","0,0762","0,289","150,234",360907,4,"43,94957",12,0,6
"Bills, Bills, Bills",Destiny's Child,spotify:track:1Oi2zpmL81Q0yScF1zxaC0,0.845,0.576,11,"-5,15",0,"0,153","0,139",0,"0,0764","0,461","127,641",256027,4,"51,35445",10,1,6
Bittersweet Me,R.E.M.,spotify:track:7aYzsNdBnwgHtB5QftgYRW,0.417,0.856,4,"-5,939",0,"0,0443","0,00743","0,00079","0,186","0,441","120,038",245760,4,"41,00081",10,1,6
Bizarre Love Triangle,FRENTE!,spotify:track:7sgi66biRYpAXuRZJBDuli,0.738,0.198,1,"-10,919",1,"0,0625","0,906",0,"0,105","0,682","123,158",119813,4,"53,20653",5,1,6
Black Cat,Janet Jackson,spotify:track:4tYpYYoOI7WDxbCnPninwE,0.705,0.913,4,"-7,253",0,"0,0484","0,103","0,00111","0,216","0,665","114,959",290573,4,"44,28293",12,1,6
Black Organ,Jackie Mittoo,spotify:track:7LCMli8kAt35cwwZATzR9r,0.836,0.593,1,"-9,744",0,"0,19","0,335","0,569","0,0482","0,973","145,215",192000,4,"49,14418",8,0,6
Black Velvet,Alannah Myles,spotify:track:1KU5EHSz04JhGg3rReGJ0N,0.754,0.366,8,"-10,07",1,"0,0312","0,273","9,04E-05","0,106","0,469","91,147",287440,4,"49,43096",10,1,6
Blame It On The Blues,Sidney Bechet,spotify:track:674ipFex3IwwIeQRgraTQJ,0.696,0.501,5,"-9,861",0,"0,0828","0,77","0,885","0,156","0,937","98,83",179067,4,"55,71328",6,0,6
Blazing Fire,Derrick Morgan,spotify:track:36vwZIzXhoNJL3hdfhoCIG,0.825,0.785,5,"-6,342",1,"0,0727","0,0546",0,"0,199","0,961","114,589",174080,4,"33,4578",8,0,6
